"2017-06-22","D003C5C2D92FB092D07E6AA178F59D5CB08685D23A98ADDAD07DF06B5581D85C","绍兴市上虞南壹金属材料有限公司","330682000046846","3306820000116674","91330604689131747U"
"2017-06-22","绍兴市上虞区沥海供销合作社北门农资服务部","330682000046854","3306820000082275","","79363C08B29ADFBDB4D51DCF9C9B3FF2B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","绍兴市上虞区沥海供销合作社三汇分社","330682000046862","3306821000002178","","56BD98AF874C89BEA234B784A7B98A48B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","上虞市沥海供销合作社联垦综合服务站","330682000046895","3306821000002224","315F38BE4D96192A3C48522B4CB10F42B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区沥海供销合作社沥东分社","330682000046900","3306821000002176","08AF6C24DE7756FDB93DDB7BDAEB729CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市沥海供销合作社海涂实验场供应店","330682000046918","3306821000002157","D025060EEF1D40F7B029493E2D296B94B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区沥海供销合作社海涂商店","330682000046926","3306821000002225","E551887EBC79674980B52AA072A921FFB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞崧厦镇万通伞厂","330682000046942","3306820000116704","2FC66DD59E285F539CC231CC3A3751B2B08685D23A98ADDAD07DF06B5581D85C","91330604689135932K"
"2017-06-22","绍兴上虞缘缘瑜伽文化发展有限公司","330682000046959","3306820000116705","EB2DC8F04F04654D18B2B12BC9128B52B08685D23A98ADDAD07DF06B5581D85C","913306046891297004"
"2017-06-22","上虞和民物业管理有限公司","330682000046967","3306820000116683","04B64DBE142877C3834FE0A17FF4FFD5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞永钢伞业有限公司","330682000046975","3306820000116715","E0FE44DEB83475BECD93C7D08AADB25AB08685D23A98ADDAD07DF06B5581D85C","913306046891297191"
"2017-06-22","浙江上虞农村商业银行股份有限公司沥海支行南汇分理处","330682000046983","3306821000002935","54DE66886A6274DD4923D788A6451A30B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江上虞农村商业银行股份有限公司沥海支行沥东分理处","330682000046991","3306820000083849","804232F27BC9FF9785116B208CBF83ACB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区殡仪馆","330682000047009","3306820000052952","A04410676858BC0C0273715C16167B02B08685D23A98ADDAD07DF06B5581D85C","91330604712582627X"
"2017-06-22","上虞市汤浦金属材料厂","330682000047017","3306820000081222","4AE0383DF839EDD3057468621F5E2DA0B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞洲翔工业设备安装有限公司","330682000047025","3306820000116722","FDC733CEE00C70A06548B614C76345B7B08685D23A98ADDAD07DF06B5581D85C","913306046891291290"
"2017-06-22","上虞市庇亚玺电子有限公司","330682000047033","3306820000116684","0154738897593416707F3763790A9DF9B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞建文气动电器有限公司","330682000047041","3306820000088346","FC1F1691A5128046C9050754CDFD2E3BB08685D23A98ADDAD07DF06B5581D85C","9133060475906312X4"
"2017-06-22","绍兴市上虞区畜禽服务部","330682000047050","3306821000001667","7CFB2982EBBF94E828EC9E71E81A619BB08685D23A98ADDAD07DF06B5581D85C","91330604146116786X"
"2017-06-22","绍兴上虞汇金再生资源有限公司","330682000047068","3306820000116736","D4B6570F79F2179032BDBCBD63A111A3B08685D23A98ADDAD07DF06B5581D85C","91330604689135828F"
"2017-06-22","上虞市贸信商贸有限公司","330682000047076","3306820000116738","CC70361BFE59C06A35550453041979BBB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞九康电器有限公司","330682000047084","3306820000116743","D44A440FE7E03314F852F48C1608DE5CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市鼎胜机械设备制造有限公司","330682000047092","3306820000116725","1F0F05849873B982C887E046574FF6BDB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市华信伞业有限公司","330682000047105","3306820000081533","4E9C2CCABCEE3AC7A58FE08C5D17C9B8B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞金盛房屋拆迁有限公司","330682000047113","3306820000089243","10D5BCF562156550615DF39D5D0D8A27B08685D23A98ADDAD07DF06B5581D85C","91330604760192105L"
"2017-06-22","绍兴上虞丰盛制冷设备厂","330682000047121","3306820000081683","8B43514401D7CB045D983841C0E66AC2B08685D23A98ADDAD07DF06B5581D85C","913306047410341520"
"2017-06-22","绍兴市上虞区风云网吧","330682000047130","3306820000084049","0881D27A7B747909E65A6DE18190BC70B08685D23A98ADDAD07DF06B5581D85C","913306047707155207"
"2017-06-22","绍兴市上虞华美加油站","330682000047148","3306824000002114","55E5006B9323906B2FB0D8C865B5BFFAB08685D23A98ADDAD07DF06B5581D85C","913306047045155399"
"2017-06-22","浙江中清地面工程有限公司","330682000047156","3306820000116766","F6AD04B191C38FB30F34BA7A1D38EA1EB08685D23A98ADDAD07DF06B5581D85C","91330604689138682D"
"2017-06-22","绍兴上虞佳羽电器有限公司","330682000047164","3306820000082883","701514C59222B912AA704D54FAA8052BB08685D23A98ADDAD07DF06B5581D85C","91330604742043886X"
"2017-06-22","绍兴市上虞区岭南下湾木制品厂","330682000047172","3306820000083436","F0A0376F192EA916BFDC20AFA158E11DB08685D23A98ADDAD07DF06B5581D85C","9133060474584219XE"
"2017-06-22","绍兴市上虞康家汽车销售服务有限公司","330682000047189","3306820000091622","BFC381C0A458F311D536D2487B2D9A05B08685D23A98ADDAD07DF06B5581D85C","91330604766422370E"
"2017-06-22","浙江五洲贸易发展有限公司","330682000047197","3306820000084402","BF39C960B30375D1D054FE042079E5F7B08685D23A98ADDAD07DF06B5581D85C","91330604751151555E"
"2017-06-22","上虞市崧厦镇生辉制伞厂","330682000047201","3306820000116807","762243A5E2EE538C59AD14AD2FBB87DEB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市崧厦镇嘉慧制伞厂","330682000047210","3306820000116805","7D838084AA890AD746C39E5487576E58B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市民生灯具有限公司","330682000047228","3306820000082710","5CB2C8D482B0C02F9857C421436C1731B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区天佳塑钢门窗有限公司","330682000047236","3306823000000951","E28F42B27C86779262E006FAE35C2096B08685D23A98ADDAD07DF06B5581D85C","91330604712579540F"
"2017-06-22","上虞市天锐广告传媒有限公司","330682000047244","3306820000116815","7D1EECFFD1048902E814428C347FBFF5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴伟邦矿机制造有限公司","330682000047252","3306820000098666","E6066474A77C70250DE985BF3B4973E5B08685D23A98ADDAD07DF06B5581D85C","9133060478565250XN"
"2017-06-22","上虞市农业机械有限公司","330682000047269","3306821000000405","F136FB9EB566C640843AB854B81A599EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞元迪贸易有限公司","330682000047277","3306820000116818","9A8C694D8722EE90DC9F2F9BDC915E66B08685D23A98ADDAD07DF06B5581D85C","9133060468913880X4"
"2017-06-22","上虞市特灵精机工业有限公司","330682000047285","3306820000091260","BC8C7FF24BC02C101CA07DDBD6FAC58BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞舜玉生态农业开发有限公司","330682000047293","3306820000116825","040F848397BC699FF68863EC2C989B35B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市森宇合成材料厂","330682000047308","3306820000081219","212723E04FFE9437C191F38023BD7E58B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市小越龙峰轮窑厂","330682000047316","3306824000001912","D8AC7C2CB9E1548FFE243333D6193B29B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市双江建筑材料有限公司","330682000047324","3306820000116824","3A8ED4EA1B13A5B0934030EEAA0BA083B08685D23A98ADDAD07DF06B5581D85C","91330604689139407G"
"2017-06-22","上虞市小越镇农业综合经营部","330682000047332","3306820000067415","3D41972CA3D15F51D3E7E15CE7B1A233B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市大富豪娱乐有限公司","330682000047349","3306820000116826","B0232D80B62B07CD83785098C36615D9B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞三禾风机有限公司","330682000047357","3306820000116842","E64C958A36008EED6572E8DF9C315C74B08685D23A98ADDAD07DF06B5581D85C","91330604689139634M"
"2017-06-22","绍兴市上虞诚军化工设备有限公司","330682000047365","3306820000116845","927E1248EBFF6A751642988FC1AAD616B08685D23A98ADDAD07DF06B5581D85C","913306046891456128"
"2017-06-22","绍兴市上虞区新建冷冻厂","330682000047373","3306824000002344","6AF531AD9E7D933687FC973C21695AF1B08685D23A98ADDAD07DF06B5581D85C","913306041461331210"
"2017-06-22","浙江百官机电设备有限公司","330682000047381","3306821000000421","7C0590D93E2EF3BFAB2E18054E2F8C19B08685D23A98ADDAD07DF06B5581D85C",""
