"2017-06-22","16715D2C1D09F293C5A829BFDA30FD6DB08685D23A98ADDAD07DF06B5581D85C","绍兴市上虞维水环保科技有限公司","330682000013364","3306820000108421","91330604670260899M"
"2017-06-22","浙江金科双氧水有限公司","330682000013372","3306820000108424","913306046702581829","B02B4657B06E98E697141339A82E35C1B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","华升建设集团浙江建筑设计有限公司","330682000013389","3306820000084023","91330604747716365U","62FBBA4911F0E5A5602FEEEFCFFE483FB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","浙江华升设备安装工程有限公司","330682000013397","3306820000087324","","F88A7EDB297184026255EC07BE051DFEB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","浙江华升隧道工程股份有限公司","330682000013401","3306820000101541","35BFF30CC3A378F04F7FDE834C982F30B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞食品有限公司谢桥生猪屠宰点","330682000013410","3306820000108439","67CBD35AF934C46EA0DB29099C076BFCB08685D23A98ADDAD07DF06B5581D85C","91330604672576248J"
"2017-06-22","绍兴市上虞食品有限公司上浦生猪屠宰点","330682000013428","3306820000108442","43706744D96F0085962C46248E201141B08685D23A98ADDAD07DF06B5581D85C","91330604672576256D"
"2017-06-22","绍兴市上虞食品有限公司丁宅生猪屠宰点","330682000013436","3306820000108443","CEDCDF766A1A6A164A60A4898CAF6467B08685D23A98ADDAD07DF06B5581D85C","9133060467257623XJ"
"2017-06-22","绍兴市上虞区大地农资有限公司虞南农资经营部","330682000013444","3306820000108445","502D9E3CB1B7F61A2F1629A7C311E345B08685D23A98ADDAD07DF06B5581D85C","91330604MA288H470P"
"2017-06-22","绍兴沃洲进出口有限公司","330682000013452","3306820000102194","6B0186820E93995B52E22710DED9EF22B08685D23A98ADDAD07DF06B5581D85C","91330604793356989J"
"2017-06-22","绍兴绿野环保技术工程有限公司","330682000013469","3306820000098813","3BCF66FE3B06C6932D5CD1F3A3FBFFB0B08685D23A98ADDAD07DF06B5581D85C","91330604785671460M"
"2017-06-22","绍兴市新磊消防设备有限公司","330682000013477","3306820000102762","9B81C5043DB3C6A9827E3400949F2060B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","昆山润福商贸有限公司上虞分公司","330682000013485","3306820000103276","CB2A86D0C2540DBD812990CFD2A85FFCB08685D23A98ADDAD07DF06B5581D85C","91330604796487386T"
"2017-06-22","上虞市永和镇幼幼金属制品厂","330682000013493","3306820000108475","C302C0E5C0F169F11C7B1ACED6E31525B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江鸿天实业有限公司","330682000013508","3306820000096574","9E7AF167C979AF4718D1515DCEBC375FB08685D23A98ADDAD07DF06B5581D85C","913306047793943213"
"2017-06-22","上虞市永和镇丞吉轴承厂","330682000013516","3306820000108479","9BC77821B1F5BAD3B4B44BFB73F68351B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区永和镇金益轴承厂","330682000013524","3306820000108481","8B50B8F2FB9612C9320F4A51AB3D9861B08685D23A98ADDAD07DF06B5581D85C","91330604671627082M"
"2017-06-22","绍兴天波制伞有限公司","330682000013532","3306820000108491","69415032465885C49779F7429F520732B08685D23A98ADDAD07DF06B5581D85C","91330604670263694G"
"2017-06-22","上虞市昱吉昌矿产资源开发有限公司","330682000013549","3306820000098497","D784A71B21E9E089C691447D1F49624AB08685D23A98ADDAD07DF06B5581D85C","913306047844361788"
"2017-06-22","绍兴恩阳进出口有限公司","330682000013557","3306820000108513","5A304FFB578D1180636EAEFCD551799EB08685D23A98ADDAD07DF06B5581D85C","913306046702637076"
"2017-06-22","绍兴丰顺贸易有限公司","330682000013565","3306820000108516","C35EBEFC81647557B8AD13BF8DC8B016B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞华杰五金有限公司","330682000013573","3306820000083845","050212CBA6577BF531ACB3090910CE01B08685D23A98ADDAD07DF06B5581D85C","91330604746334744X"
"2017-06-22","绍兴上虞哈特尔制衣有限公司","330682000013590","3306820000081599","B4ECAA523107A4CA7B3B0DA684F5325AB08685D23A98ADDAD07DF06B5581D85C","9133060473777297XQ"
"2017-06-22","绍兴市上虞区驰博电器厂","330682000013604","3306820000108548","6865718EED515BD463131329D560963FB08685D23A98ADDAD07DF06B5581D85C","91330604670273286N"
"2017-06-22","上虞市下管镇瑞丽制衣厂","330682000013612","3306820000108553","318F2F3464E90AE143C1165738E90B51B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞创维空间环境艺术有限公司","330682000013629","3306823000000875","EFB09803E59982FCDD89149A338F158EB08685D23A98ADDAD07DF06B5581D85C","91330604704519855W"
"2017-06-22","浙江省再生资源有限公司上虞分公司","330682000013637","3306820000105075","60883563C26DACA2E1CAD2AF62310095B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞马山标准厂房有限公司","330682000013645","3306820000108590","4C1002477C11726BFE4AA2216AE7BCA3B08685D23A98ADDAD07DF06B5581D85C","91330604670269850N"
"2017-06-22","绍兴市上虞征康化学制品有限公司","330682000013653","3306821000000794","A725076A269C4C26F6D934617CCF6B5EB08685D23A98ADDAD07DF06B5581D85C","91330604146191073M"
"2017-06-22","上虞市梁湖乐佳针织时装厂","330682000013661","3306820000108594","5AD155EF67BB1950B56DE07A8FEB11A5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞崧厦建设投资有限公司","330682000013670","3306820000069333","5233690E1152231212C24FF75A0775C7B08685D23A98ADDAD07DF06B5581D85C","91330604730299112B"
"2017-06-22","绍兴上虞布莱特照明电器有限公司","330682000013688","3306820000101703","C84B0B614F1AB06FF0BDD298BAA90D97B08685D23A98ADDAD07DF06B5581D85C","91330604790982984A"
