"2017-06-22","9D20E5E34E7F2D18019C380F1A3A26D0B08685D23A98ADDAD07DF06B5581D85C","中国电信股份有限公司上虞上浦营业厅","330682000017082","3306820000087208","91330604757083258Y"
"2017-06-22","中国电信股份有限公司上虞章镇营业厅","330682000017099","3306820000087050","91330604757083290A","AF9F7EF27EAA2C0821F81EA93D1E699EB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞道墟营业厅","330682000017103","3306820000086841","91330604757083274L","28D356D9CC9AD95B5F536259B33E67EBB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞丰惠营业厅","330682000017111","3306820000086803","91330604757083223C","A00EFB492F7BB5FD1E7ADFAB9A82935BB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞下管营业厅","330682000017120","3306820000086805","9133060475708324XY","5175E7C832B299DC6AA8042FDC318912B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞竹山桥营业厅","330682000017138","3306820000086732","91330604757083311T","BFE4D775BAB02026CD090E8A011272F6B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞小越营业厅","330682000017146","3306820000086793","91330604757083346D","C614B899F57516C3E6C46B583A545AF9B08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","中国电信股份有限公司上虞综合营业厅","330682000017154","3306820000086728","91330604757083266R","80EFEDF409DFC6EC96838D539412589CB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","上虞市远洋船用三防布有限公司","330682000017162","3306820000109408","","573A31AD97834EEC86C0354FC3E2956DB08685D23A98ADDAD07DF06B5581D85C"
"2017-06-22","上虞市丰惠镇伟业针织厂","330682000017179","3306820000109409","CB843C5C486A40829500C3EC87675296B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市龙浩装饰工程有限公司","330682000017187","3306820000109411","6B6A82F7EA476A9E7525F69139B34C98B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市吉鑫铜铝有限公司","330682000017195","3306820000098911","EC8055B1E8DC37C2B66EA2F95B32256AB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市九红婚礼服有限公司","330682000017200","3306820000109416","03853611B5E9F2899B63D609705C491CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞天瑶纺织有限公司","330682000017218","3306820000109420","043389DF4CAB0391AB4C03E05251B287B08685D23A98ADDAD07DF06B5581D85C","913306046725512782"
"2017-06-22","上虞市佳博贸易有限公司","330682000017226","3306820000109422","F67C12BAAC8969F14B26C3700E818AECB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞金特照明电器有限公司","330682000017234","3306820000104204","E3BB2BE0725958B7BC94F4DF21344E61B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市海光仪器有限公司","330682000017242","3306820000109423","596E0AAC329BFB1027EA24213F08FF2AB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴平安驾驶员培训有限公司","330682000017259","3306820000084486","681BD284D53ED4932D5CFDA0C569ED6DB08685D23A98ADDAD07DF06B5581D85C","913306047511754858"
"2017-06-22","上虞市欧通贸易有限公司","330682000017267","3306820000109424","58E4C54ABA9A42D5D1DB0D5C84AB9F70B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江鹏翔暖通设备有限公司","330682000017275","3306820000104681","F5F5D8573154B16DBFE54073C1F20525B08685D23A98ADDAD07DF06B5581D85C","91330604799636340X"
"2017-06-22","绍兴上虞若深贸易有限公司","330682000017283","3306820000109444","2BF8B8D27C2482CAD5F9B0572A90431CB08685D23A98ADDAD07DF06B5581D85C","91330604672551139B"
"2017-06-22","绍兴上虞风机销售有限公司","330682000017291","3306823000000916","2AE3A512425E667E0273E7F16D1294F1B08685D23A98ADDAD07DF06B5581D85C","91330604712578679W"
"2017-06-22","上虞春舟金属制品有限公司","330682000017306","3306820000109448","6907FCF61D91A7A766D6D72060693318B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市道墟海鑫粘结材料厂","330682000017314","3306820000109449","06D110B501C52DC819FC4701206B1BD1B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市海宇化工原料有限公司","330682000017322","3306820000109451","B612D093721B412053D9E61176904E6FB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞申光文教用品有限公司","330682000017339","3306820000070548","595D6886B22BEE763B2456E16095CC35B08685D23A98ADDAD07DF06B5581D85C","91330604704515731U"
"2017-06-22","绍兴市上虞区贺家池窑厂（普通合伙）","330682000017347","3306820000067676","3475D3134BB10CD79C251D8C6B1B46FFB08685D23A98ADDAD07DF06B5581D85C","9133060471258055X1"
"2017-06-22","绍兴宝之能照明电器有限公司","330682000017355","3306820000109453","B9570A4281D2C0EF486D0B8C8071450FB08685D23A98ADDAD07DF06B5581D85C","913306046725516739"
"2017-06-22","绍兴上虞飞达针织有限公司","330682000017363","3306820000109454","A7A36B8CA4889158D72DC2EB982D450BB08685D23A98ADDAD07DF06B5581D85C","91330604672551497C"
"2017-06-22","绍兴上虞蓝翔塑料制品厂","330682000017371","3306820000109455","4BA919A4C56FAD37EC5F54DF5908F8DAB08685D23A98ADDAD07DF06B5581D85C","9133060467255177XF"
"2017-06-22","上虞市丰硕进出口有限公司","330682000017380","3306820000109459","89ED9EEA686D92B190C4A8F6F93DEF97B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区恒博电器厂","330682000017402","3306820000109461","9B85CCDFC8CEB0823ED561C8820831A1B08685D23A98ADDAD07DF06B5581D85C","913306046725762055"
"2017-06-22","绍兴市上虞中通物业管理有限公司","330682000017419","3306820000087312","262C046F20DFB3BD6779E481289FB783B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市精宏电器厂","330682000017427","3306820000109462","6B1D79963861A1557051F1B969C8EC24B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市一帆贸易有限公司","330682000017435","3306820000109464","F897B4B111BE5884CE05838C9A3927D5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞锐博贸易有限公司","330682000017443","3306820000109466","A1447B49680C318CAD2CEE08395B3803B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江坤宇管桩有限公司","330682000017451","3306820000067482","33F3ECACB01845E73FDA5EDDB19D838FB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞风机厂有限公司","330682000017460","3306820000093480","9D23DCC7FBFB3E8A1CB714B62C1B5C5DB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","中广有线信息网络有限公司上虞分公司","330682000017478","3306820000109468","93BF40CA753373F065588629CBC18A97B08685D23A98ADDAD07DF06B5581D85C","9133060467255425XN"
"2017-06-22","绍兴市上虞佳达针织有限公司","330682000017486","3306820000109476","72FBE98CFA50ADC46A308FA066A05C6FB08685D23A98ADDAD07DF06B5581D85C","91330604672553185J"
"2017-06-22","绍兴市上虞区龙帆织造有限公司","330682000017494","3306820000099769","CFDCCEB5716325A5EB8BA138A290654AB08685D23A98ADDAD07DF06B5581D85C","91330604787703737G"
"2017-06-22","上虞安达汽车租赁有限公司","330682000017509","3306820000109482","1A81362B1A955D907F1514B368F628ECB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区隆财塑料厂","330682000017517","3306820000094679","E4BCCDD4201C4E978E093501C6B32AA1B08685D23A98ADDAD07DF06B5581D85C","91330604775716864Y"
"2017-06-22","上虞市双惠风机厂","330682000017525","3306820000109484","440D5220F42453785575F8C35614E4CCB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞中意毛纺织有限公司","330682000017533","3306820000109486","668B7FB4AEAFD0520B34CA4D67999FB2B08685D23A98ADDAD07DF06B5581D85C","91330604672555332X"
"2017-06-22","上虞市豪门电子厂","330682000017541","3306820000109488","85600C1090A31AF4273E6971CC724D64B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞华安消防设备有限公司崧厦分公司","330682000017550","3306820000109491","71B436C979CF790F3334478F7C1307EBB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞大方田木业有限公司","330682000017568","3306820000109492","677D5304EF5330880ADF158348955717B08685D23A98ADDAD07DF06B5581D85C","913306046725535569"
"2017-06-22","绍兴上虞上力热能设备有限公司","330682000017584","3306820000109495","4F058ECB598A385CB97BAF2CEEE6DC1AB08685D23A98ADDAD07DF06B5581D85C","913306046725543565"
"2017-06-22","绍兴上虞立达风冷成套设备有限公司","330682000017592","3306820000109498","B23A191B002E722EBCFAF453D0B40344B08685D23A98ADDAD07DF06B5581D85C","91330604672553783E"
"2017-06-22","绍兴市上虞顺风通风设备厂","330682000017605","3306820000109499","2DD8BA22F0E3377770EB29BC320C66DAB08685D23A98ADDAD07DF06B5581D85C","91330604672559173N"
"2017-06-22","上虞市欧尚照明电器有限公司","330682000017613","3306820000109501","CF928D132DDFEE1254482BD41DFB27FAB08685D23A98ADDAD07DF06B5581D85C",""
