"2017-06-26","330682000000059","330682142016110039","绍虞市监案字〔2016〕249 号","上虞区市场监督管理局","宁波海王星辰健康药房有限公司上虞店","","2016-10-19","1","冯燕","宁波海王星辰健康药房有限公司上虞店食品药品违法行为案","宁波海王星辰健康药房有限公司上虞店食品药品违法行为案"
"2017-06-26","330682000000091","D68B146D9D874134B5A954F52A77C6CB","33068251201500093","上虞区道路运输管理所","上虞市董达针织服装厂","浙江省绍兴市","2015-04-29","已归档","","不按规定维护货运车辆","货运经营者不按规定维护和检测运输车辆"
"2017-06-26","330682000000091","90A0DE2DC8C74FB5A1D96D2C9B724817","33068251201500094","上虞区道路运输管理所","上虞市董达针织服装厂","浙江省绍兴市","2015-04-29","已归档","","不按规定检测货运车辆","货运经营者不按规定维护和检测运输车辆"
"2017-06-26","330682000000227","6FFA3ECF655241F5B4F5BFD204682575","虞环罚字（2015）140号","上虞区环境保护局","上虞市兴驿铝业有限公司","绍兴市上虞区","2015-07-23","正常","胡志兴","上虞市兴驿铝业有限公司不正常使用水污染物处理设施案","不正常使用污染物处理设施的处罚"
"2017-06-26","330682000000294","EA3D1D8D0D674A8DB544C4FC2C2735F1","虞环罚字（2017）66号","上虞区环境保护局","绍兴市华镇彩印有限公司","绍兴市上虞区","2017-04-28","正常","陆剑耀","绍兴市华镇彩印有限公司建设项目未经环评报批擅自开工建设并投入生产案","违反建设项目环境影响评价制度的处罚"
"2017-06-26","330682000000761","279D34AB14A147F7A4B513AA64FCDB94","虞环罚字（2015）41号","上虞区环境保护局","浙江九鼎管桩有限公司","绍兴市上虞区","2015-03-18","正常","陆文兴","浙江九鼎管桩有限公司利用无防渗漏措施的坑塘存贮生产废水案","违规运输、贮存、堆放、弃置、倾倒、排放、处置污染物、废弃物的处罚"
"2017-06-26","330682000000761","7452FB28957C454591D66A0A19EC2BB9","虞公路简罚〔2015〕C411号","上虞区公路管理段","浙江九鼎管桩有限公司","绍兴","2015-12-17","已结案","","浙江九鼎管桩有限公司违法超限运输车辆行驶公路案","车辆超限使用汽车渡船或者在公路上擅自超限行驶的处罚"
"2017-06-26","330682000000761","0AE49337737149B3A5F69EB8FF195736","3306825116000117","道路运输管理所","浙江九鼎管桩有限公司","绍兴市上虞区","2016-06-12","已归档","钱伟丰","货运经营者不按照规定携带车辆营运证","货运经营者不按照规定携带车辆营运证"
"2017-06-26","330682000000761","43BAF1999E3B44508767E0B46DB6D159","3306825117000109","上虞区道路运输管理所","浙江九鼎管桩有限公司","绍兴市上虞区","2017-04-24","已完结存档","","货运经营者不按照规定携带车辆营运证","《中华人民共和国道路运输条例》第六十八条、《浙江省道路运输条例》第七十八条、《道路货物运输及站场管理规定》第五十八条第二款"
"2017-06-26","330682000000761","481B9B83139B4059B11DB511BF1A70B2","3306825117000108","上虞区道路运输管理所","浙江九鼎管桩有限公司","绍兴市上虞区","2017-04-24","已完结存档","","货运经营者不按照规定携带车辆营运证","《中华人民共和国道路运输条例》第六十八条、《浙江省道路运输条例》第七十八条、《道路货物运输及站场管理规定》第五十八条第二款"
"2017-06-26","330682000000761","D452D70E15924740A3C04360E591A55D","3306825117000107","上虞区道路运输管理所","浙江九鼎管桩有限公司","绍兴市上虞区","2017-04-24","已完结存档","","货运经营者不按照规定携带车辆营运证","《中华人民共和国道路运输条例》第六十八条、《浙江省道路运输条例》第七十八条、《道路货物运输及站场管理规定》第五十八条第二款"
