330682000000000 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000001 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000002 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000003 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000004 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000005 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000006 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000007 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000008 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000009 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000010 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000011 : [{'name': '绍兴市上虞区惠多利农资有限公司盖北镇东农资供应二店', 'regloc': '浙江省绍兴市上虞区盖北镇镇东村中心路99号', 'estdate': '2014-11-04', 'legrep': '范如坤', 'regno': '330682000168814', 'corpid': '6A590D4EE60BAD33266109893F21FD9FB08685D23A98ADDAD07DF06B5581D85C'}]
330682000000012 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000013 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000014 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000015 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000016 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000017 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000018 : [{'name': '上虞市鑫鑫五金制品有限公司', 'regloc': '上虞经济开发区舜江西路596号', 'estdate': '2002-05-24', 'legrep': '吕鑫康', 'regno': '330682000000018', 'corpid': 'B071274A1840ACCE25BBDCEBF730C1FCB08685D23A98ADDAD07DF06B5581D85C'}]
330682000000019 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000020 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000021 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000022 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000023 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
330682000000024 : [{'name': '无匹配企业', 'regloc': None, 'estdate': None, 'legrep': None, 'regno': None, 'corpid': '-1'}]
