330682000000000 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000001 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000002 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000003 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000004 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000005 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000006 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000007 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000008 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000009 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000010 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000011 : [{'name': '绍兴市上虞区惠多利农资有限公司盖北镇东农资供应二店', 'legrep': '范如坤', 'regloc': '浙江省绍兴市上虞区盖北镇镇东村中心路99号', 'corpid': '6A590D4EE60BAD33266109893F21FD9FB08685D23A98ADDAD07DF06B5581D85C', 'regno': '330682000168814', 'estdate': '2014-11-04'}]
330682000000012 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000013 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000014 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000015 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000016 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000017 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000018 : [{'name': '上虞市鑫鑫五金制品有限公司', 'legrep': '吕鑫康', 'regloc': '上虞经济开发区舜江西路596号', 'corpid': 'B071274A1840ACCE25BBDCEBF730C1FCB08685D23A98ADDAD07DF06B5581D85C', 'regno': '330682000000018', 'estdate': '2002-05-24'}]
330682000000019 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000020 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000021 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000022 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000023 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000024 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000025 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000026 : [{'name': '绍兴市智明伟业机电工程有限公司', 'legrep': '曹森华', 'regloc': '绍兴市上虞区百官街道舜江东路33号', 'corpid': 'C0A4A97CF84585D042EF50263495A3F0B08685D23A98ADDAD07DF06B5581D85C', 'regno': '330682000000026', 'estdate': '2007-07-02'}]
330682000000027 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000028 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000029 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000030 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000031 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000032 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000033 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000034 : [{'name': '绍兴市上虞区曹娥街道博客园网吧', 'legrep': '王华', 'regloc': '绍兴市上虞区经济开发区越秀路476号', 'corpid': 'CA2C344C6DA715279BFB5B7D01653814B08685D23A98ADDAD07DF06B5581D85C', 'regno': '330682000000034', 'estdate': '2003-06-25'}]
330682000000035 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000036 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000037 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000038 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
330682000000039 : [{'name': '无匹配企业', 'legrep': None, 'regloc': None, 'corpid': '-1', 'regno': None, 'estdate': None}]
