now crawling 本月风险企业关注类预警提示
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞东林针织品有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江梦典家居有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江俏尔婷婷服饰有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞宏大轴承有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞虞商股权投资合伙企业（有限合伙）'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江巍华新材料股份有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '恒安（浙江）家庭生活用品有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴德星汽车有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞天亮复合材料有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞瑞鼎投资咨询有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江飞达铜材有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区永和农贸市场服务部'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴文理学院上虞分院后勤经营服务有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞永富建筑电讯塑料厂'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞银发包装厂'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区裕和塑料厂'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞春晖内燃机配件有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞三立铜业有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区小越宇峰锻件厂'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴雅图互动娱乐有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区水利建设发展有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞盛达铜业有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区神州劳务有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞汇丰房地产开发有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞荣达机械有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江春晖固废处理有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '上虞日报有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞之江喷塑厂'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江特富热能科技有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞丰安钢结构安装有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江金舜环境建设有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区铜管有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞建方物资有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江天汇装饰有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞华丰食品机械有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞区众利餐饮管理有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江亚厦景观园林工程有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '浙江环祥环境建设有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞普利物业管理有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞博莱贸易有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞名派汽车俱乐部有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞育才风机制造有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞区崧厦供销购物中心有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞恒嘉电器有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴上虞大方田木业有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
OrderedDict([('smy_dt', '20170620'), ('content', '近6个月内重要股东有变动'), ('entName', '绍兴市上虞东江贸易有限公司'), ('name', '企业股东变更'), ('dtCreateDate', '2017-06-20')])
