INFO: 2017-06-22 21:58:21,936  330682000046846 : OrderedDict([('corpid', 'D003C5C2D92FB092D07E6AA178F59D5CB08685D23A98ADDAD07DF06B5581D85C'), ('name', '绍兴市上虞南壹金属材料有限公司'), ('regno', '330682000046846'), ('nocorpid', '3306820000116674'), ('entUnscId', '91330604689131747U')])
INFO: 2017-06-22 21:58:31,817  330682000046854 : OrderedDict([('name', '绍兴市上虞区沥海供销合作社北门农资服务部'), ('regno', '330682000046854'), ('nocorpid', '3306820000082275'), ('entUnscId', None), ('corpid', '79363C08B29ADFBDB4D51DCF9C9B3FF2B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 21:58:41,602  330682000046862 : OrderedDict([('name', '绍兴市上虞区沥海供销合作社三汇分社'), ('regno', '330682000046862'), ('nocorpid', '3306821000002178'), ('entUnscId', None), ('corpid', '56BD98AF874C89BEA234B784A7B98A48B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 21:59:18,226  330682000046895 : OrderedDict([('name', '上虞市沥海供销合作社联垦综合服务站'), ('regno', '330682000046895'), ('nocorpid', '3306821000002224'), ('corpid', '315F38BE4D96192A3C48522B4CB10F42B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 21:59:24,494  330682000046900 : OrderedDict([('name', '绍兴市上虞区沥海供销合作社沥东分社'), ('regno', '330682000046900'), ('nocorpid', '3306821000002176'), ('corpid', '08AF6C24DE7756FDB93DDB7BDAEB729CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 21:59:45,296  330682000046918 : OrderedDict([('name', '上虞市沥海供销合作社海涂实验场供应店'), ('regno', '330682000046918'), ('nocorpid', '3306821000002157'), ('corpid', 'D025060EEF1D40F7B029493E2D296B94B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 21:59:54,797  330682000046926 : OrderedDict([('name', '绍兴市上虞区沥海供销合作社海涂商店'), ('regno', '330682000046926'), ('nocorpid', '3306821000002225'), ('corpid', 'E551887EBC79674980B52AA072A921FFB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:00:12,806  330682000046942 : OrderedDict([('name', '绍兴上虞崧厦镇万通伞厂'), ('regno', '330682000046942'), ('nocorpid', '3306820000116704'), ('corpid', '2FC66DD59E285F539CC231CC3A3751B2B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604689135932K')])
INFO: 2017-06-22 22:00:31,790  330682000046959 : OrderedDict([('name', '绍兴上虞缘缘瑜伽文化发展有限公司'), ('regno', '330682000046959'), ('nocorpid', '3306820000116705'), ('corpid', 'EB2DC8F04F04654D18B2B12BC9128B52B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046891297004')])
INFO: 2017-06-22 22:00:41,828  330682000046967 : OrderedDict([('name', '上虞和民物业管理有限公司'), ('regno', '330682000046967'), ('nocorpid', '3306820000116683'), ('corpid', '04B64DBE142877C3834FE0A17FF4FFD5B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:00:51,550  330682000046975 : OrderedDict([('name', '绍兴上虞永钢伞业有限公司'), ('regno', '330682000046975'), ('nocorpid', '3306820000116715'), ('corpid', 'E0FE44DEB83475BECD93C7D08AADB25AB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046891297191')])
