INFO: 2017-06-23 17:03:51,835  330682000053505 : OrderedDict([('corpid', '7BB7E0BC8DF21F1BEF61E65008BC1A66B08685D23A98ADDAD07DF06B5581D85C'), ('name', '上虞易诚快递服务有限公司'), ('regno', '330682000053505'), ('nocorpid', '3306820000105259'), ('entUnscId', None)])
INFO: 2017-06-23 17:04:01,531  330682000053513 : OrderedDict([('name', '绍兴市上虞羽帆贸易有限公司'), ('regno', '330682000053513'), ('nocorpid', '3306820000118351'), ('entUnscId', '91330604693613343H'), ('corpid', '666C604EA066FAC0F0B63076FEFA51A3B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-23 17:04:11,613  330682000053521 : OrderedDict([('name', '上虞市崧厦镇连城网吧'), ('regno', '330682000053521'), ('nocorpid', '3306820000101866'), ('entUnscId', None), ('corpid', 'AE41F38068AD07A63661B00835722460B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-23 17:04:22,457  330682000053530 : OrderedDict([('name', '绍兴市振舜贸易有限公司'), ('regno', '330682000053530'), ('nocorpid', '3306820000118375'), ('corpid', 'A727F63C4B4AF6913F2718E9CE46A3A9B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604693613394R')])
INFO: 2017-06-23 17:04:43,205  330682000053548 : OrderedDict([('name', '绍兴上虞天秀建筑装饰设计有限公司'), ('regno', '330682000053548'), ('nocorpid', '3306820000069254'), ('corpid', '02692E708877725E92ABE2EF1417C5A0B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604730296181R')])
INFO: 2017-06-23 17:04:52,608  330682000053556 : OrderedDict([('name', '上虞市金诚数码手机世界有限公司'), ('regno', '330682000053556'), ('nocorpid', '3306820000118377'), ('corpid', '444C84536AD765E2708F9F579B032CF9B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:05:02,264  330682000053564 : OrderedDict([('name', '永安财产保险股份有限公司上虞支公司'), ('regno', '330682000053564'), ('nocorpid', '3306820000095422'), ('corpid', 'B37C6485D0FEEA65D41EF73808A3F0B6B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604778269887C')])
INFO: 2017-06-23 17:05:11,748  330682000053572 : OrderedDict([('name', '绍兴市上虞王牌空调设备工程有限公司'), ('regno', '330682000053572'), ('nocorpid', '3306820000082007'), ('corpid', 'D68D9B20A9D2A2DF0A34AAF3C07D5CAEB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604738445014Y')])
INFO: 2017-06-23 17:05:30,677  330682000053589 : OrderedDict([('name', '上虞市均威拆迁有限公司'), ('regno', '330682000053589'), ('nocorpid', '3306820000118358'), ('corpid', 'A6804974A446AA92F94AF6FFC485256CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:05:40,421  330682000053597 : OrderedDict([('name', '上虞市矩阵计算机有限公司'), ('regno', '330682000053597'), ('nocorpid', '3306820000118376'), ('corpid', '860DD411936161A285F16F188C2FDCAEB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:05:45,678  330682000053601 : OrderedDict([('name', '绍兴市任伟电子有限公司'), ('regno', '330682000053601'), ('nocorpid', '3306820000118274'), ('corpid', 'C895AE6FFED442692C4935195C49ADD7B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604693620017U')])
INFO: 2017-06-23 17:05:56,733  330682000053610 : OrderedDict([('name', '绍兴康斯达医疗器械有限公司'), ('regno', '330682000053610'), ('nocorpid', '3306820000118380'), ('corpid', '409951A3AAD749C1DC0EB48600A42AC0B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046936116711')])
INFO: 2017-06-23 17:06:17,083  330682000053628 : OrderedDict([('name', '浙江虞建风机有限公司'), ('regno', '330682000053628'), ('nocorpid', '3306820000118388'), ('corpid', '18A85F2C6915823220AC34760AA02B95B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046936134235')])
INFO: 2017-06-23 17:06:26,623  330682000053636 : OrderedDict([('name', '绍兴上虞金雕化工贸易有限公司'), ('regno', '330682000053636'), ('nocorpid', '3306820000084239'), ('corpid', '251F18BB5DFA7FE3ED7752AA9D70BD3CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '9133060474980625XN')])
INFO: 2017-06-23 17:06:36,041  330682000053644 : OrderedDict([('name', '上虞市奕鑫工贸有限公司'), ('regno', '330682000053644'), ('nocorpid', '3306820000118389'), ('corpid', '4F344EACC8D8BF47824D564C65491DBAB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:06:45,461  330682000053652 : OrderedDict([('name', '上虞市前程伞业有限公司'), ('regno', '330682000053652'), ('nocorpid', '3306820000118399'), ('corpid', '0107BAFFF32AE9B4536722ED7E9667AFB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:07:04,494  330682000053669 : OrderedDict([('name', '绍兴市上虞区百官利达塑料制品厂'), ('regno', '330682000053669'), ('nocorpid', '3306820000101807'), ('corpid', '7819DF33B69F43C49F07252A95DA150FB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306047920674480')])
INFO: 2017-06-23 17:07:14,027  330682000053677 : OrderedDict([('name', '绍兴市上虞区百官锦程贸易商行'), ('regno', '330682000053677'), ('nocorpid', '3306820000118415'), ('corpid', 'C97AF027A7473B762F65E6B9E175CFB8B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046936201210')])
INFO: 2017-06-23 17:07:23,569  330682000053685 : OrderedDict([('name', '绍兴上虞大洋塑料制品有限公司'), ('regno', '330682000053685'), ('nocorpid', '3306820000050872'), ('corpid', '6D8F1FFBA822B501119608DB1E322241B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306047125807288')])
INFO: 2017-06-23 17:07:33,027  330682000053693 : OrderedDict([('name', '嵊州市速滕数码科技有限公司上虞分公司'), ('regno', '330682000053693'), ('nocorpid', '3306820000118352'), ('corpid', '85D983AEB12CD1D62F48E628A5746715B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:07:49,822  330682000053708 : OrderedDict([('name', '绍兴科羽企业管理咨询有限公司'), ('regno', '330682000053708'), ('nocorpid', '3306820000118411'), ('corpid', '325B15CA1D1A14621F4CFAA298A93356B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
